gamma	sackin	colless	beta	blum	crown_age	tree_height	pigot_rho	number_of_lineages	nltt_base	phylogenetic_div	avg_ladder	max_ladder	cherries	il_number	pitchforks	stairs	laplace_spectrum_a	laplace_spectrum_p	laplace_spectrum_e	laplace_spectrum_g	imbalance_steps	j_one	b1	b2	area_per_pair	average_leaf_depth	i_stat	ew_colless	max_del_width	max_depth	max_width	rogers	stairs2	tot_coph	var_depth	symmetry_nodes	mpd	psv	vpd	mntd	j_stat	rquartet	wiener	max_betweenness	max_closeness	diameter	eigenvector	mean_branch_length	var_branch_length	mean_branch_length_int	mean_branch_length_ext	var_branch_length_int	var_branch_length_ext	model	extinction	combined
-4.849071	3202	1444	-0.04594238	353.3579	10	10	-0.4822759	300	0.6663713	1000.886	2.380952	4	104	92	44	0.5685619	-1.264221	5.714352	9.292278	590	281	0.7709699	163.1439	6.187263	17.61824	10.67333	0.4725797	0.428816	18	18	76	170	0.6658521	83610	7.351126	172	18.54957	9.274787	6.620938	3.976919	0.06183191	333850056	2733262	108081	2.015242e-4	34	0.7064456	1.673723	2.2582	1.356873	1.98846	1.386285	2.932386	DDD	TRUE	DDD_TRUE
-5.376741	3010	1168	-0.1696045	359.6014	10	10	0.399646	300	0.6716571	985.0288	2.315789	3	101	98	47	0.5953177	-1.193875	4.917627	9.287408	588	283	0.820148	160.0436	6.62735	17.39991	10.03333	0.5015766	0.4523568	22	16	94	178	0.6491719	59802	5.564103	181	18.48147	9.240735	7.082064	3.935448	0.0616049	373564701	2730559	114301	2.045293e-4	31	0.7070473	1.647205	2.365012	1.324536	1.967724	1.784272	2.742932	DDD	TRUE	DDD_TRUE
-4.135287	3281	1509	-0.1696045	360.2385	10	10	-0.2767535	300	0.6765038	970.4886	2.48	4	99	102	42	0.6120401	-1.300375	5.435036	9.300033	563	281	0.7524065	158.0963	5.771782	16.848	10.93667	0.5191802	0.4633109	26	18	72	183	0.6397332	112693	8.026076	184	18.47457	9.237286	6.196236	3.766132	0.06158191	256940532	2738045	110629	2.023609e-4	30	0.7029937	1.622891	2.239658	1.360969	1.883066	1.456896	2.888384	DDD	TRUE	DDD_TRUE
-2.230559	3214	1406	-0.2226025	359.4652	10	10	-0.7259818	300	0.6868117	939.565	2.526316	4	101	98	47	0.6086957	-1.550084	7.134934	9.298585	569	283	0.7680914	159.9251	6.210297	17.8755	10.71333	0.5010312	0.4581893	18	16	74	182	0.6451941	79635	8.098149	184	18.99023	9.495116	6.422235	3.453307	0.06330077	321566454	2849108	114929	1.978152e-4	29	0.7004386	1.571179	2.211589	1.414661	1.726654	1.644289	2.733822	DDD	TRUE	DDD_TRUE
-6.733042	3200	1376	0.001166992	353.1155	10	10	-0.8974002	300	0.6615405	1015.379	2.285714	5	102	96	47	0.5953177	-1.04568	5.325749	9.303276	1	283	0.7714518	161.9897	4.580414	16.86537	10.66667	0.4824106	0.4441929	30	16	84	178	0.6560026	100194	5.61427	181	17.99619	8.998097	7.168097	3.999985	0.05998731	391908636	2625290	114579	2.086896e-4	29	0.7071063	1.697957	2.259949	1.393895	1.999992	1.771244	2.569268	DDD	TRUE	DDD_TRUE
-5.614708	3266	1430	-0.1754932	358.004	10	10	-0.7312339	300	0.6813013	956.096	2.416667	5	100	100	46	0.6053512	-1.160396	4.616057	9.283459	588	281	0.7558621	159.7891	6.074493	18.10948	10.88667	0.5127897	0.4622402	18	18	76	181	0.6446463	82162	9.030591	182	18.26773	9.133866	8.578533	3.824563	0.06089244	403225662	2709573	101249	1.984966e-4	34	0.7071056	1.598823	2.112631	1.28326	1.912282	1.650971	2.380437	DDD	TRUE	DDD_TRUE
-6.539569	3214	1460	-0.3764441	365.4816	10	10	0.3195481	300	0.6523822	1042.853	2.217391	4	102	96	45	0.6086957	-1.106478	4.515649	9.284446	589	281	0.7680914	158.9949	6.537643	18.06221	10.71333	0.5464556	0.4729318	22	18	66	182	0.6261182	75448	9.690123	184	18.67777	9.338883	6.854166	4.345855	0.06225922	360094740	2731079	117617	2.039942e-4	35	0.66390420000000006	1.743902	2.410783	1.311997	2.172927	1.565052	2.888324	DDD	TRUE	DDD_TRUE
-6.023237	3097	1347	0.0423877	351.1389	10	10	-0.7637846	300	0.6403251	1079.025	2.533333	5	103	94	49	0.5852843	-1.181805	4.712914	9.285645	581	282	0.7971087	162.9363	6.621933	17.20586	10.32333	0.48445	0.4441402	26	17	86	175	0.6569807	77160	7.242932	178	18.90253	9.451265	5.316341	4.307608	0.06300843	306012996	2749699	110491	2.045719e-4	31	0.7061386	1.804389	2.523585	1.452629	2.153804	1.790303	3.014582	DDD	TRUE	DDD_TRUE
-6.57196	3206	1448	-0.04594238	350.9141	10	10	-0.8260004	300	0.6589036	1023.289	2.26087	4	102	96	54	0.6020067	-1.09727	4.912811	9.271769	1	281	0.770008	162.8082	6.289299	17.88562	10.68667	0.4922228	0.4622866	16	18	72	180	0.6498058	78212	7.841293	183	18.09458	9.047292	7.246743	4.053645	0.06031528	351733767	2638195	107965	2.065668e-4	33	0.7070671	1.711186	2.240087	1.393431	2.026822	1.648031	2.635084	DDD	TRUE	DDD_TRUE
-7.311475	3272	1444	-0.1692365	354.966	10	10	-0.510463	300	0.610055	1169.835	2.142857	3	103	94	51	0.5986622	-1.085816	4.491476	9.27952	573	282	0.754476	163.3137	6.465622	17.76098	10.90667	0.455629	0.4395058	24	17	76	179	0.6632075	90874	9.616678	181	18.78191	9.390955	4.538509	4.708069	0.06260637	305276961	2673574	106791	2.129806e-4	31	0.7066523	1.956246	2.745948	1.555787	2.354035	1.858443	3.318104	DDD	TRUE	DDD_TRUE
